predicted_label,predicted_probability,confidence,actual_label,risk_level,education_level,employment_type,no_of_dependents,income_annum,loan_amount,loan_term_years,cibil_score,total_assets,dti_ratio,estimated_monthly_payment,pti_ratio,loan_term_months,feat_no_of_dependents,feat_education,feat_self_employed,feat_income_annum,feat_loan_amount,feat_loan_term,feat_cibil_score,feat_residential_assets_value,feat_commercial_assets_value,feat_luxury_assets_value,feat_bank_asset_value,feat_has_debt
Approved,0.985785,HIGH,Approved,LOW,Not Graduate,Self-Employed,3,5200000.0,15200000.0,16,650,24600000.0,2.923077,158977.11,0.36687,192,3.0,-1.3684332778041153e-08,1.0,5200000.0,15200000.0,16.0,650.0,1300000.125,5700000.0,13500000.0,4100000.0,8.166215620386552e-11
Approved,0.994646,HIGH,Approved,LOW,Graduate,Self-Employed,3,3500000.0,12000000.0,2,786,19400000.0,3.428572,553739.1,1.898534,24,3.0,0.9999999403953552,1.0,3500000.0,12000000.0,2.000000238418579,786.0,599999.6875,6400000.0,10700000.0,1700000.0,8.166215620386552e-11
Approved,0.99171,HIGH,Approved,LOW,Not Graduate,Salaried,2,3300000.0,8300000.0,6,653,20700000.0,2.515152,153764.45,0.559144,72,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,3300000.0,8300000.0,6.0,653.0,4700000.0,3100000.0,8300000.0,4600000.0,8.166215620386552e-11
Approved,0.995846,HIGH,Approved,LOW,Graduate,Self-Employed,5,9400000.0,26600000.0,20,771,71400000.0,2.829787,256695.77,0.327697,240,5.0,0.9999999403953552,1.0,9400000.0,26600000.0,20.0,771.0,10200000.0,12600000.0,36900000.0,11700000.0,8.166215620386552e-11
Approved,0.625617,MEDIUM,Approved,LOW,Not Graduate,Self-Employed,5,1100000.0,3899999.75,2,538,7600000.0,3.545454,179965.2,1.963257,24,5.0,-1.3684332778041153e-08,1.0,1100000.0,3899999.75,2.000000238418579,538.0,399999.65625,1300000.125,4300000.5,1600000.0,8.166215620386552e-11
Rejected,0.00163,HIGH,Rejected,HIGH,Not Graduate,Salaried,4,8400000.0,23400000.0,12,350,62000000.0,2.785714,279648.3,0.399498,144,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8400000.0,23400000.0,12.0,350.0,18700000.0,9100000.0,27500000.0,6700000.0,8.166215620386552e-11
Approved,0.995154,HIGH,Approved,LOW,Graduate,Salaried,4,7300000.0,19800000.0,8,724,50800000.0,2.712329,300448.47,0.493888,96,4.0,0.9999999403953552,-1.2926308912142304e-08,7300000.0,19800000.0,8.0,724.0,5500000.0,6000000.0,29000000.0,10300000.0,8.166215620386552e-11
Approved,0.993072,HIGH,Approved,LOW,Not Graduate,Salaried,2,2600000.0,7800000.5,4,819,14600000.0,3.0,197828.16,0.913053,48,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,2600000.0,7800000.5,4.0,819.0,3100000.25,4300000.0,5699999.5,1500000.0,8.166215620386552e-11
Approved,0.992777,HIGH,Approved,LOW,Not Graduate,Self-Employed,4,2700000.0,10400000.0,16,671,19400000.0,3.851852,108773.8,0.483439,192,4.0,-1.3684332778041153e-08,1.0,2700000.0,10400000.0,16.0,671.0,6100000.0,3700000.0,5599999.5,4000000.0,8.166215620386552e-11
Rejected,0.044023,HIGH,Rejected,HIGH,Graduate,Salaried,5,9100000.0,19900000.0,20,519,65100000.0,2.186813,192039.31,0.253239,240,5.0,0.9999999403953552,-1.2926308912142304e-08,9100000.0,19900000.0,20.0,519.0,9300000.0,16400000.0,28900000.0,10500000.0,8.166215620386552e-11
